position,feature,train_mean,train_variance,train_scale,scaler_sample_count
0,PROTOCOL,11.919062156945778,30.315511416260453,5.505952362331194,13255011
1,L7_PROTO,12.293245749122331,863.075006429989,29.378138239684098,13255011
2,IN_BYTES,2097.5008622776695,8430830586.304765,91819.55448761862,13255011
3,IN_PKTS,28.17668457611993,1542819.3358550242,1242.1027879588003,13255011
4,OUT_BYTES,8753.03577039657,333202389932.05334,577236.8577387044,13255011
5,OUT_PKTS,11.010639900638335,152180.55164192963,390.1032576663897,13255011
6,TCP_FLAGS,63.535977450339345,9002.149519575101,94.87965809157988,13255011
7,CLIENT_TCP_FLAGS,63.04612104810777,8956.909420706956,94.64095002009941,13255011
8,SERVER_TCP_FLAGS,16.830702139741714,720.1657941286303,26.835904943352112,13255011
9,FLOW_DURATION_MILLISECONDS,618706.8480001262,2274398510028.974,1508110.9077348968,13255011
10,DURATION_IN,30.164399335466413,1520073.2545011612,1232.9125088590679,13255011
11,DURATION_OUT,13.20013615982665,7952.214461867011,89.17518972150836,13255011
12,MIN_TTL,65.37701696362228,3493.390771611713,59.104913261180855,13255011
13,MAX_TTL,65.5025940001106,3509.536737425456,59.24134314332733,13255011
14,LONGEST_FLOW_PKT,528.6487755460936,290587.57778089104,539.0617569266911,13255011
15,SHORTEST_FLOW_PKT,56.37017109982029,474.46351755855244,21.78218348923157,13255011
16,MIN_IP_PKT_LEN,54.28085891441358,327.5963358916101,18.099622534506352,13255011
17,MAX_IP_PKT_LEN,528.6487755460936,290587.57778089104,539.0617569266911,13255011
18,RETRANSMITTED_IN_BYTES,43.692471096402706,105902.27065233888,325.42629065940395,13255011
19,RETRANSMITTED_IN_PKTS,0.5745191761817475,9.96675266792635,3.1570164186976206,13255011
20,RETRANSMITTED_OUT_BYTES,63.233605917037714,13564450.416577175,3682.994761953535,13255011
21,RETRANSMITTED_OUT_PKTS,0.1459698524580629,8.668287703262544,2.9441955952793872,13255011
22,SRC_TO_DST_AVG_THROUGHPUT,4298834.917206179,137197738197442.39,11713143.822110374,13255011
23,DST_TO_SRC_AVG_THROUGHPUT,15600078.82783892,1.1707354160564196e+16,108200527.54291078,13255011
24,NUM_PKTS_UP_TO_128_BYTES,31.162845130796196,1543316.9553364068,1242.3030851351882,13255011
25,NUM_PKTS_128_TO_256_BYTES,1.3470648194860042,57.1522372218763,7.559909868634434,13255011
26,NUM_PKTS_256_TO_512_BYTES,0.771684836776069,30.26876833643751,5.5017059478345,13255011
27,NUM_PKTS_512_TO_1024_BYTES,0.5976559355552401,20.978756783266373,4.580257283523096,13255011
28,NUM_PKTS_1024_TO_1514_BYTES,5.425192480036417,148754.40262531166,385.6869230675467,13255011
29,TCP_WIN_MAX_IN,10146.733767327692,354199033.3221677,18820.176229838224,13255011
30,TCP_WIN_MAX_OUT,17341.67670249387,553808745.4022305,23533.141426554816,13255011
31,ICMP_TYPE,3657.863080536108,161809949.69448867,12720.453989323207,13255011
32,ICMP_IPV4_TYPE,14.288522431252604,2469.0240038345432,49.68927453520069,13255011
33,DNS_QUERY_ID,17477.654726503053,458261974.5717793,21407.054317952745,13255011
34,DNS_QUERY_TYPE,5.088735497843042,312.1087285539391,17.66659923567462,13255011
35,DNS_TTL_ANSWER,25.022054300822536,2128.4151253837576,46.13474965125266,13255011
