feature,mean_train,scale_train
L4_SRC_PORT,32559.938646574123,19166.151977180285
L4_DST_PORT,11418.915496796242,18539.77058394009
PROTOCOL,9.142105712975985,10.92008713827097
L7_PROTO,3.036161499832925,13.578630708103075
IN_BYTES,4602.720645162447,70448.31651762771
IN_PKTS,36.02389685337777,80.06722233751759
OUT_BYTES,35287.377596460894,156605.65328621378
OUT_PKTS,45.70738965246645,117.49772884125215
TCP_FLAGS,19.896410511412025,11.135951443720911
CLIENT_TCP_FLAGS,19.609507223024746,11.053226328514702
SERVER_TCP_FLAGS,19.500825070180273,11.08639654587512
FLOW_DURATION_MILLISECONDS,259820.94675144678,1023918.8607348785
DURATION_IN,1.2948892266334209,9.618575658203186
DURATION_OUT,1.1489507175211915,6.515032226445643
MIN_TTL,38.99937544488346,41.05159370054564
MAX_TTL,39.832624607710656,41.00392183747003
LONGEST_FLOW_PKT,723.7662245374258,616.164884914432
SHORTEST_FLOW_PKT,57.5171190856274,37.837826739743406
MIN_IP_PKT_LEN,54.06068464389302,11.938858354386214
MAX_IP_PKT_LEN,723.7662245374258,616.164884914432
SRC_TO_DST_SECOND_BYTES,1420227136.819935,1248735369661.2573
DST_TO_SRC_SECOND_BYTES,560839603.6599474,244476937627.44278
RETRANSMITTED_IN_BYTES,1629.1436482744648,35193.63318599321
RETRANSMITTED_IN_PKTS,5.3785772216082925,27.36305274148063
RETRANSMITTED_OUT_BYTES,17270.886934008133,78138.47955110941
RETRANSMITTED_OUT_PKTS,16.223575192551237,54.95002618295836
SRC_TO_DST_AVG_THROUGHPUT,26957795.217593208,73186110.37964441
DST_TO_SRC_AVG_THROUGHPUT,98212561.26310983,237855052.76039845
NUM_PKTS_UP_TO_128_BYTES,55.40310938798977,78.64693611041325
NUM_PKTS_128_TO_256_BYTES,1.6774450735152173,5.365418812442444
NUM_PKTS_256_TO_512_BYTES,1.4738610236368712,8.081154468947519
NUM_PKTS_512_TO_1024_BYTES,1.524204349652849,6.990638070870086
NUM_PKTS_1024_TO_1514_BYTES,23.82834834755865,111.60505441535743
TCP_WIN_MAX_IN,17391.393157744693,16936.313583352185
TCP_WIN_MAX_OUT,12217.193266040756,10970.130621110544
ICMP_TYPE,18954.858524221083,20373.114109973172
ICMP_IPV4_TYPE,74.04210517508163,79.582239895703
DNS_QUERY_ID,4953.924316470743,13781.677736847103
DNS_QUERY_TYPE,2.9820893131746464,124.88677789255655
DNS_TTL_ANSWER,19955.69680867277,8102156.216921024
FTP_COMMAND_RET_CODE,37.58798965569382,84.20567972004825
